eps,phase12_pi,phase23_pi,ok_3d,blocks,theta12,theta13,theta23,deltaCP_deg,J,dm21,dm31,dm32,sum_mnu,ordering,Ue_theta_deg,score
0.01,0.072,0.012,True,"[[0, 1, 2]]",25.753396416147613,7.340019017347887,46.22862869150329,-12.97517723994928,-0.005516162199276833,7.291842531189498e-07,3.1798974288353695e-06,2.4507131757164198e-06,0.007742735217732185,NO,4.568550106784038,69.50538729003912
0.01,0.072,0.014,True,"[[0, 1, 2]]",25.538719492199622,7.275536440243744,46.25902790512293,-16.052575345100607,-0.00669539431364375,7.301077268214257e-07,3.1635685751668203e-06,2.4334608483453946e-06,0.007742246096734595,NO,4.568550106784038,73.91010481493365
0.01,0.072,0.016,True,"[[0, 1, 2]]",25.371628975122167,7.205398400584339,46.28943531808084,-19.162764065261594,-0.007836666267992357,7.319765384237784e-07,3.1482579521648114e-06,2.416281413741033e-06,0.007741777228805025,NO,4.568550106784298,77.78686647916847
0.01,0.072,0.018,True,"[[0, 1, 2]]",25.252943126085167,7.12946368238192,46.31968059120465,-22.290902935768738,-0.008932775689057707,7.347626595898952e-07,3.133964579822317e-06,2.3992019202324216e-06,0.007741326166823817,NO,4.568550106784298,81.0909549382076
0.01,0.072,0.02,True,"[[0, 1, 2]]",25.18239874792427,7.047532730826887,46.34982579674721,-25.422222399075235,-0.009976876353151126,7.384441767809048e-07,3.1207000645326116e-06,2.382255887751707e-06,0.007740896329667211,NO,4.568550106784038,83.81192775080373
0.01,0.072,0.022,True,"[[0, 1, 2]]",25.15939287910892,6.959452126811498,46.379821164816015,-28.54248457345707,-0.010962820447640808,7.429866305962387e-07,3.108466478595257e-06,2.3654798479990185e-06,0.007740486666108591,NO,4.568550106784715,85.95989611309486
0.01,0.072,0.024,True,"[[0, 1, 2]]",25.182570222493403,6.865084456206495,46.40957376213657,-31.638513826699413,-0.01188510298323635,7.483527846312277e-07,3.097262512894849e-06,2.3489097282636214e-06,0.007740096432010219,NO,4.568550106784715,87.57264200373379
0.01,0.072,0.026,True,"[[0, 1, 2]]",25.249847890126354,6.7642904033882125,46.43908726352732,-34.698714120060785,-0.012738856704879658,7.545071913647651e-07,3.0870870243543977e-06,2.3325798329896327e-06,0.007739726601754152,NO,4.568550106784038,88.71492990468003
0.01,0.072,0.028,True,"[[0, 1, 2]]",25.358901808843324,6.656946007501953,46.468281819048826,-37.71332543428781,-0.013519991587997814,7.614058298799977e-07,3.0779405121490704e-06,2.3165346822690727e-06,0.007739376645142097,NO,4.568550106784715,89.46786452654806
0.01,0.072,0.03,True,"[[0, 1, 2]]",25.506903090986576,6.542950769182653,46.497097758584,-40.674732967614396,-0.014225096723818543,7.690055348094761e-07,3.0698191546608776e-06,2.3008136198514015e-06,0.00773904649936866,NO,4.568550106784715,89.9309897418719
0.01,0.072,0.032,True,"[[0, 1, 2]]",25.69074155110967,6.422214679806547,46.52548628032772,-43.577636770223556,-0.014851429717703599,7.772624315403367e-07,3.0627205516012274e-06,2.2854581200608908e-06,0.007738736728511353,NO,4.568550106784715,90.21626762835558
0.01,0.074,0.012,True,"[[0, 1, 2]]",26.38997360162524,7.445706123454747,46.131435994146734,-11.928091415815613,-0.005238414561151695,7.176006227011557e-07,3.2242959909524096e-06,2.506695368251254e-06,0.00774391386207441,NO,4.568550106784064,58.414983635341
0.01,0.074,0.014,True,"[[0, 1, 2]]",26.16279539051005,7.383211468482523,46.160459901436994,-14.991149123512056,-0.006463487152092526,7.181862382121161e-07,3.2076456009272646e-06,2.4894593627151485e-06,0.007743414353672689,NO,4.568550106784064,62.60724372506048
0.01,0.074,0.016,True,"[[0, 1, 2]]",25.9825238998028,7.315288371363755,46.18946567392729,-18.089254319822878,-0.007652072254600899,7.197521735787153e-07,3.1920085769813417e-06,2.4722564034026265e-06,0.007742934718204702,NO,4.568550106784599,66.3366840989671
0.01,0.074,0.018,True,"[[0, 1, 2]]",25.85009417643633,7.241763511991705,46.218401511262954,-21.207617942124926,-0.008796486773282673,7.222763746761533e-07,3.177393409428522e-06,2.4551170347523687e-06,0.007742475300972532,NO,4.568550106784599,69.5544183314711
0.01,0.074,0.02,True,"[[0, 1, 2]]",25.76568303714662,7.162489950733382,46.24721032100262,-24.3313276736884,-0.009889567309629935,7.257321647053911e-07,3.163799884006551e-06,2.43806771930116e-06,0.007742035334832477,NO,4.568550106784064,72.23693992458139
0.01,0.074,0.022,True,"[[0, 1, 2]]",25.728762333543457,7.077300881750868,46.275886523577185,-27.445897219529108,-0.010924735772013467,7.300889375902143e-07,3.151233731967908e-06,2.4211447943776938e-06,0.007741615462786796,NO,4.568550106784942,74.38744938460756
0.01,0.074,0.024,True,"[[0, 1, 2]]",25.73814392856382,6.986066298366007,46.30436023690141,-30.537807830282368,-0.011896160740001674,7.353108434174551e-07,3.1396907375931792e-06,2.404379894175724e-06,0.0077412145598486325,NO,4.568550106784942,76.03408604663296
0.01,0.074,0.026,True,"[[0, 1, 2]]",25.79193837401129,6.888621967866986,46.332641941427475,-33.594955979147905,-0.012798652442510036,7.413615780812851e-07,3.1291775704689346e-06,2.3878159923876495e-06,0.007740834695585655,NO,4.568550106784064,77.23142486209832
0.01,0.074,0.028,True,"[[0, 1, 2]]",25.887811413275887,6.784857533641244,46.36065782749701,-36.606986205701155,-0.013627859293138197,7.481993405089936e-07,3.119688120749082e-06,2.3714887802400886e-06,0.007740475159582058,NO,4.568550106784942,78.05282012511057
