ok_3d,blocks,g_diag,g_off,eps,phase_pi,beta,rel_cut,tol_rel_blocks,seesaw_M,theta12,theta13,theta23,ue3,um3,ut3,m_light,dm21,dm31,score,note
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.06,1.5,0.15,0.03,1000000.0,33.05549867137138,10.668542700821497,47.00933030611608,0.1851271001409739,0.7188210803103193,0.6700926885847984,7.756610039432e-08;8.248229774614e-08;9.602963686065e-08,7.868295110999935e-16,3.205191225205706e-15,16.992696159869094,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.0625,1.5,0.15,0.03,1000000.0,32.55064205556863,10.610863281938864,47.57942786416376,0.18413771188421205,0.7255900736720532,0.6630326900315966,7.756108043893e-08;8.260432876362e-08;9.648197989855e-08,8.077539316347784e-16,3.293051246290364e-15,19.50557044014292,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.065,1.5,0.15,0.03,1000000.0,34.430500211439444,11.193686925733335,46.42344764804108,0.19412626454512907,0.7106724055958588,0.6762098234558958,7.743168212354e-08;8.222118391995e-08;9.626525659318e-08,7.646576887166185e-16,3.271334230470633e-15,23.26976949865055,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.0675,1.5,0.15,0.03,1000000.0,33.40069937717772,11.00659296837252,47.07608377507024,0.19092194897690634,0.718788953634076,0.6684992517066818,7.746038028641e-08;8.241930682812e-08;9.689173976460e-08,7.9283162391244205e-16,3.38789872049436e-15,21.685193476498497,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.07,1.5,0.15,0.03,1000000.0,35.56717489531432,10.998926904068881,47.09819872466841,0.19079061039142425,0.7190656323627989,0.6682391483152259,7.731108606909e-08;8.214943948498e-08;9.736741514631e-08,7.715263785138523e-16,3.503409503091522e-15,26.36363578827728,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.0725,1.5,0.15,0.03,1000000.0,36.10773242636024,11.23237950743792,46.955070373913195,0.19478868639474234,0.7168200115127558,0.6694971536514298,7.724481265942e-08;8.205754290964e-08;9.747658730370e-08,7.666792655777974e-16,3.5349239895865654e-15,31.942380673253133,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.075,1.5,0.15,0.03,1000000.0,36.75137371515129,11.475521296490689,46.46612774968263,0.1989492591100761,0.7104750540535232,0.6750143627117113,7.718443255476e-08;8.192064803724e-08;9.763409509033e-08,7.535559460406396e-16,3.574979895306069e-15,38.187104536710876,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.0775,1.5,0.15,0.03,1000000.0,37.98875030793832,11.543579835304271,46.61042582941226,0.20011321878589045,0.712000570172977,0.6730600922209018,7.707194799667e-08;8.179171647323e-08;9.794724492788e-08,7.497997156349736e-16,3.6535776209604864e-15,49.64408748107195,
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.08,1.5,0.15,0.03,1000000.0,38.348817857383885,11.607105216679946,47.021608711229774,0.20119939616310825,0.7166496427619913,0.6677814706268903,7.700076502042e-08;8.178456480654e-08;9.821246309868e-08,7.59597226866555e-16,3.716570094179507e-15,,outside_angle_window
True,"[[0, 1, 2]]",0.892,1.0,0.01,0.0825,1.5,0.15,0.03,1000000.0,38.00967301071665,11.617678062336362,47.091705384470885,0.20138015010276827,0.7174388758778146,0.6668789204373358,7.699429437298e-08;8.182307766397e-08;9.863033747235e-08,7.668946724106344e-16,3.799822103915748e-15,,outside_angle_window
