eps,phase12_pi,phase23_pi,ok_3d,blocks,theta12,theta13,theta23,Ue3,score,deltaCP_deg,dm21_eV2,dm32_eV2,score_total,dm21,dm31,r,delta_cp_deg,objective
0.0125,0.088,0.012,True,"[[0, 1, 2]]",31.063280426039103,8.135903838380802,45.58412330926787,0.1415215928493657,7.093769891140074,-174.6813779427753,0.0005631158199888237,0.002437,38283.41016042553,7.183374604525713e-16,3.8270911643667334e-15,0.18769802693514728,-174.68137794277533,7.295001532892871
0.0125,0.088,0.0124,True,"[[0, 1, 2]]",32.239621973506026,8.125475422355567,45.64526158347501,0.1413414122126723,3.113881124210489,-174.11290600669605,0.0005511467452792134,0.002437,36427.05489016957,7.069829389343883e-16,3.833042263316802e-15,0.18444433699581048,-174.11290600669605,3.3209024344117766
0.0125,0.088,0.0128,True,"[[0, 1, 2]]",32.99697810391969,8.140154474318821,45.10446648863454,0.14159503336668466,1.4420873409017951,-173.48206270568292,0.0005321687549080468,0.002437,33586.96067470642,6.868379828188401e-16,3.832126293514068e-15,0.17923156237865226,-173.48206270568292,1.6540944484389437
0.0125,0.088,0.0132,True,"[[0, 1, 2]]",30.02015517832681,8.061713799239149,45.61385129491728,0.14023964666201758,13.538676634439996,-172.86459026202573,0.0005720530456426191,0.002437,39706.83661018909,7.266507524517213e-16,3.822251583901805e-15,0.19011065506837896,-172.86459026202573,13.780994333279482
0.0125,0.088,0.0136,True,"[[0, 1, 2]]",34.155507970539034,8.124291155820394,44.61735632770212,0.14132095033366976,2.075001900081797,-172.2529736171295,0.000510783687813466,0.002437,30528.439633821534,6.648505656546374e-16,3.836919030558415e-15,0.1732771946344348,-172.2529736171295,2.305975423786826
0.0125,0.088,0.014,True,"[[0, 1, 2]]",34.32322764196856,8.304073606921628,44.447234592883746,0.14442655379536365,1.6833334549214727,-171.71191120703276,0.0005160985212080777,0.002437,31271.550644647083,6.594398137649629e-16,3.773292615325871e-15,0.17476508741636831,-171.71191120703276,1.929696939370275
0.0125,0.088,0.0144,True,"[[0, 1, 2]]",30.970565056844897,8.045046571726399,45.778300789386655,0.13995161750850268,8.355746107098657,-171.12656917941285,0.0005642461924399758,0.002437,38464.12206311542,7.168317577328855e-16,3.812854410612157e-15,0.18800396777221753,-171.12656917941285,8.637214997869998
0.0125,0.088,0.0148,True,"[[0, 1, 2]]",32.76577705910873,8.208083699787274,44.86368870346089,0.14276857701980258,1.3424098265515345,-170.5167074590594,0.0005342173620991588,0.002437,33886.88930284638,6.785631011830909e-16,3.774041449332039e-15,0.17979746918338393,-170.51670745905943,1.6277535606010494
0.0125,0.088,0.0152,True,"[[0, 1, 2]]",33.84741549896281,7.951391089282047,45.42261932561119,0.1383329218672708,2.9029488374685726,-169.94065579749176,0.0005225928917616768,0.002437,32205.12438839373,6.812561610046769e-16,3.858148328006299e-15,0.17657593827055285,-169.9406557974918,3.199867444756465
0.0125,0.088,0.0156,True,"[[0, 1, 2]]",31.04073742849744,7.927427667179335,45.72629551241654,0.13791869021993824,8.807746309904259,-169.29977448003365,0.0005560658477905796,0.002437,37197.14315848479,7.120223608554168e-16,3.832513396762634e-15,0.1857847023983973,-169.29977448003365,9.137641987742086
0.0125,0.088,0.016,True,"[[0, 1, 2]]",30.202350643002376,8.016942900542611,45.307619938130095,0.13946592644662803,12.359324924008451,-168.69174448679254,0.0005623320179530927,0.002437,38173.960519458094,7.108495166400909e-16,3.791485540812568e-15,0.18748575168975745,-168.69174448679254,12.710807262636258
0.0125,0.0885,0.012,True,"[[0, 1, 2]]",32.36806145888965,8.031575229472722,45.654355600861074,0.13971880832853364,3.4317187235011435,-174.85440650595828,0.0005411569380506256,0.002437,34921.435841387356,7.071911881639863e-16,3.891895669203842e-15,0.18170867059975818,-174.85440650595828,3.6205193198104
0.0125,0.0885,0.0124,True,"[[0, 1, 2]]",31.631502097417982,8.137888032884062,45.72627273479138,0.14155587493916155,4.93634173764891,-174.3229343635896,0.000557151435659773,0.002437,37351.58281016261,7.148206123530032e-16,3.841471143624433e-15,0.18607991199917465,-174.32293436358964,5.141803619029009
0.0125,0.0885,0.0128,True,"[[0, 1, 2]]",33.28565932467585,8.329028129017853,44.91445690892595,0.1448575122630709,0.4609459396454757,-173.7333825522833,0.0005332897408780618,0.002437,33746.807690421294,6.808134796349549e-16,3.791959865347544e-15,0.17954132000618006,-173.7333825522833,0.6681703037273494
0.0125,0.0885,0.0132,True,"[[0, 1, 2]]",32.157513772155525,8.147934090816818,45.010411424197144,0.14172944395554776,2.7700619416107,-173.13201638041892,0.0005354778044441296,0.002437,34075.996952838876,6.907746717995802e-16,3.834542464235168e-15,0.18014526589350496,-173.13201638041892,2.990976724535546
0.0125,0.0885,0.0136,True,"[[0, 1, 2]]",34.0780558446779,8.062359662763702,45.27143740082157,0.14025080769920295,2.2677807844079854,-172.52564421696556,0.000519455733474376,0.002437,31752.17340337754,6.801303926225233e-16,3.870927336444976e-15,0.1757021854218397,-172.52564421696556,2.49582878422436
0.0125,0.0885,0.014,True,"[[0, 1, 2]]",29.828097765741386,8.076050851312834,45.54241505580418,0.14048739816933173,14.699835926324749,-171.93945619078843,0.0005708160496308822,0.002437,39511.65989313358,7.2512820674073e-16,3.820937164757726e-15,0.18977757955009664,-171.93945619078843,14.96340877802084
