% # columns="iter, evals, sigma, 0, fitness, xbest" seed=191535, Sun Dec  7 20:53:54 2025, <python>{}</python>
1 60 0.40339148325768265 0 707093139810.5975 0.5919947941244371 -0.08721964705493154 -0.03937547249295842 -0.17477949219537162 -0.05205551364532565 -0.36035844811904433 -0.3746217300139463 0.12966006774984412 0.00017457527282704888
2 120 0.40550430348426997 0 355526739052.5668 0.653772341542314 -0.3652832848991335 0.6371857870110247 0.3963186470326283 -0.4863454873982662 -0.17523179800240357 -0.6420106642682022 0.4001930456580557 -0.8140284850598967
3 180 0.46303340055853814 0 107487495899.32018 0.5649554805786995 0.2794879713546615 0.06425962629845838 -0.0192294571782127 -0.46937932701511065 0.07518888424854553 0.6929584422681241 0.9436164466137515 0.9316520087335629
4 240 0.46561013247179994 0 16817447014.54112 0.10504364253633791 -0.0442978776689379 -0.12426718037674112 0.9058230751035725 0.23696391976825054 0.02082224985342035 -0.044250703860599094 1.0857239768924345 0.9567325235269937
5 300 0.5639086548372827 0 13941705904.224745 1.1211575802613143 0.18989152103452805 0.13835100152066876 0.4781806902640743 -0.35123861428916925 1.2756949644892064 0.28532265460364836 1.13471804111881 0.9747118462806932
6 360 0.5472705187245053 0 23642839628.51405 0.3712102919887633 -0.8687255292438828 -0.4082019179380766 0.00963260993595999 -0.016469859712136214 0.5501705066811191 -0.9894516837580039 1.0050277064453477 0.9493533998408983
7 420 0.5405944809176454 0 11109530711.033224 0.5739004777046552 -0.02474101943165391 0.7191768632597478 -0.8473382002256222 -0.459352337964405 0.9193981530615639 0.9223360495406039 1.03681245461515 0.9924997411771037
8 480 0.47654186000185184 0 1141645429256.3945 0.04964332656693626 0.2554422924245961 0.28801648158970616 -0.1323240695212655 -0.37932829942607427 0.2021219463464094 -0.12160479951065989 1.2063172060519058 0.8750915520176071
9 540 0.4274694472325823 0 15522015787.279064 1.0044709477882603 -0.24422694995766422 0.0741286776245196 -1.0586473449201355 -0.8891191419246396 -0.01840557414064503 0.09764260015380097 1.0583630284226841 1.0217708730192985
10 600 0.48155404809715585 0 11434909905.198895 0.7112858162926939 0.8196829070838174 -0.1661146859187368 0.12780339505688781 -0.269632797935904 0.7874011217878791 0.687247319269362 2.0228263729504254 0.9679894207403913
11 660 0.4423930272792296 0 37943361508.56731 0.10667410364170543 -0.0381716309041219 0.1824321521397243 0.5874198244755163 -0.38307184517481097 0.43645873569615723 1.0040682653689035 0.9305561276091859 0.9938306526423957
12 720 0.4229730282696686 0 12187606880.76268 0.2889768294338898 -0.1323805551962668 0.15430600050377954 0.36888215872296715 -0.7990651383676302 0.03707190990225062 -0.052682926424749754 1.1211571938227516 1.0089175522673013
13 780 0.41907855579676506 0 12125196124.088144 0.5234273414254762 0.6767314676345078 0.48909409282404426 0.40857242095039115 -1.0127381576610712 1.2947571545079577 0.6772971187743764 2.0277999451268793 1.009563994664453
14 840 0.36272368469350935 0 12797459983.379372 0.8280289671117853 0.2551884486803726 -0.5403323699143247 0.1479402245001508 -0.07164865258736242 0.5088400673920563 0.017281798811647542 1.1324195006016977 0.9788548846046731
15 900 0.4183466059876355 0 9992339880.957203 0.39528265396001605 0.4038721202632955 0.2407367875346198 0.6679751934420783 -0.34310075332458423 0.2784310708935307 1.3489345746284718 1.018975320790287 0.9735824022813814
16 960 0.40623720529660723 0 11053163381.371712 0.09310257174992503 0.48113076802753374 0.10345017302428747 0.18866412641706362 -0.883883672420769 0.5156723102157695 0.7636222761704443 1.0664151183490775 0.9741635174792185
17 1020 0.3824397664661127 0 9547206804.3765 0.22499172081749214 0.2560535417787615 -0.0206965046264255 0.09970906955188902 -0.6108776628922749 0.20234868769026176 0.4712426803183137 1.08529060325937 0.9737074848119078
18 1080 0.3731236902567333 0 9912789852.184383 -0.02697626997662847 0.27124194121212536 -0.13802164033656383 0.6055004450961066 -0.3408004068799664 0.5228278642393527 0.14426951735738758 1.2028055139584959 1.04867945453232
19 1140 0.3780084738397149 0 9698858910.71395 0.3233810019037473 0.6577533907868429 -0.04270718447189473 0.09902091695245951 -0.7544501555766658 0.6590357653949832 1.2601489964523016 1.1844584957805817 1.042221019177637
20 1200 0.32277856226453017 0 9764799367.31685 -0.34986072757619857 0.4511469340287998 0.3892027244143301 0.9048982410709012 -0.48688113692490653 1.4592938878633004 1.7470006612197282 1.2020167892504028 1.0526989320977818
21 1260 0.2806770249561929 0 9518993826.302212 0.14900135500214512 0.14631687586793685 -0.17610923982833418 0.8641906996792478 -0.665490504713043 0.7533375345508336 0.8717596017280844 1.0879833699974657 0.972999030575059
22 1320 0.2928448947063341 0 9873324996.217655 0.06189243245006472 0.3305582054679144 0.2882817146448969 0.4600272062882806 -0.6595690415016793 0.5262921634126035 1.5760881515433365 0.9920257168014592 0.9716118387820929
23 1380 0.30006441208223356 0 9545290287.751963 -0.09809880177809763 0.9176773705678214 -0.013851150699849088 0.7640718646837661 -0.21050806146537093 0.9791532768738813 2.0817628857938164 1.0968660199999627 0.9758048752567569
24 1440 0.30125583553720253 0 9599393515.538977 -0.1557736919293219 0.10187205127027538 0.24186507328530893 0.5641506612125893 -0.3318263207756851 1.0715528101033494 2.0561617519666577 1.0067870235592626 0.9711197125941816
25 1500 0.29668520335084325 0 9580933450.627619 -0.0748774313322928 -0.0387075037315906 0.3258111836750269 0.795934432047111 -0.48358819728981045 0.7574026438582534 1.9327597628864464 1.0002430734113823 0.9708487238326254
26 1560 0.28440463659850435 0 9585546169.099068 -0.4878785830626434 0.2945201670781937 -0.022469947021216824 0.9753739833062063 -0.2208876899894311 0.9860158182388892 1.8807198200394586 1.0845913440926558 0.9785667594951978
