% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, 25%tile, current best feasible f-value, elapsed wallclock time [s], further/more values", seed=191535, Sun Dec  7 20:53:54 2025, <python>{}</python>
1 60 0.40339148325768265 1.0000444454321133 707093139810.5975 7.0709313981059753e+11 1.0466595096104186e+17 1.6176453039565455e+19 1.7533369765170268e+18 3.855281080854718e+16 nan 0.0   
2 120 0.40550430348426997 1.4513628054925491 355526739052.5668 3.5552673905256677e+11 6.127368501841794e+16 2.296627533250222e+19 1.0114056878510186e+17 6928815443390596.0 nan 0.1   
3 180 0.46303340055853814 1.9389164977745676 107487495899.32018 1.0748749589932018e+11 4.1601088984578104e+16 1.3440296365371562e+19 2.5921215722153286e+17 379675459086961.9 nan 0.1   
4 240 0.46561013247179994 2.5842148371863827 16817447014.54112 1.6817447014541121e+10 1.0730655446228404e+16 1.6768924818077485e+19 4.0632939371108454e+17 182487973435868.62 nan 0.1   
5 300 0.5639086548372827 2.681320444444867 13941705904.224745 1.3941705904224745e+10 1283736178917100.2 4.3065136376311337e+18 8.514069112525334e+16 17053698368688.654 nan 0.1   
6 360 0.5472705187245053 2.607652972300149 13941705904.224745 2.3642839628514050e+10 3117686239063402.5 2.647412505108919e+19 7.78156722202275e+16 134216086451582.16 nan 0.2   
7 420 0.5405944809176454 2.5087892904495224 11109530711.033224 1.1109530711033224e+10 2576501641903406.0 2.4405674180738015e+19 4.304170127759404e+16 19971287676720.195 nan 0.2   
8 480 0.47654186000185184 2.431211797718798 11109530711.033224 1.1416454292563945e+12 1312776813180429.0 4.827620810386635e+18 1.6485260486171136e+16 65192522438811.07 nan 0.2   
9 540 0.4274694472325823 2.5426347911519738 11109530711.033224 1.5522015787279064e+10 309281073590594.3 3.719016081404154e+18 1.5753392182878568e+16 12019921684340.54 nan 0.2   
10 600 0.48155404809715585 2.3388154398611953 11109530711.033224 1.1434909905198895e+10 95249606921520.98 3.362562158453581e+18 1191002379015703.2 11497152901280.66 nan 0.3   
11 660 0.4423930272792296 2.60707151434808 11109530711.033224 3.7943361508567307e+10 81442338968294.36 1.704696693578166e+18 437385996551827.06 2251637251969.687 nan 0.3   
12 720 0.4229730282696686 2.88774101700141 11109530711.033224 1.2187606880762680e+10 17116488468714.852 6.078258772011277e+18 187113398851412.3 2814472205572.7344 nan 0.3   
13 780 0.41907855579676506 3.0155668083874114 11109530711.033224 1.2125196124088144e+10 13709174622745.604 4.100855795211478e+16 59318759332219.984 2998762619763.6416 nan 0.3   
14 840 0.36272368469350935 3.5221152650438095 11109530711.033224 1.2797459983379372e+10 8448760593342.456 1177824446117623.8 26937567474781.375 1380669187859.3745 nan 0.4   
15 900 0.4183466059876355 4.133000401705262 9992339880.957203 9.9923398809572029e+09 2607783609154.7803 1672012629077560.0 15162224964477.918 291421869270.65546 nan 0.4   
16 960 0.40623720529660723 4.589109506446979 9992339880.957203 1.1053163381371712e+10 5263053807624.53 3.7469917160531736e+16 20720607547142.707 315670116095.7034 nan 0.4   
17 1020 0.3824397664661127 5.046171455788358 9547206804.3765 9.5472068043764992e+09 4171181254391.446 1746685421061617.5 11593494623028.527 659819464901.7573 nan 0.4   
18 1080 0.3731236902567333 5.686619451863664 9547206804.3765 9.9127898521843834e+09 2593404200774.343 1444476230408426.8 7715114454979.382 364883748382.2004 nan 0.5   
19 1140 0.3780084738397149 5.936518480138436 9547206804.3765 9.6988589107139492e+09 1106687487540.839 851468399865407.8 3425918898840.257 86657220323.72363 nan 0.5   
20 1200 0.32277856226453017 7.322298589342706 9547206804.3765 9.7647993673168507e+09 144803804532.51276 81329646751235.84 3310576819667.8833 20460077333.12256 nan 0.5   
21 1260 0.2806770249561929 9.113462399752184 9518993826.302212 9.5189938263022118e+09 51556723377.929146 97540231540966.69 348868621048.3428 16496701643.863995 nan 0.5   
22 1320 0.2928448947063341 10.713000181925642 9518993826.302212 9.8733249962176552e+09 39761837525.83397 18660431270058.176 223166435726.855 12918841471.210293 nan 0.6   
23 1380 0.30006441208223356 12.374938104221664 9518993826.302212 9.5452902877519627e+09 30484447516.567482 20669131303460.914 139192575043.7965 11974346858.758434 nan 0.6   
24 1440 0.30125583553720253 15.51044159552302 9518993826.302212 9.5993935155389767e+09 18987737153.934208 1022633541507.5388 60653815629.00624 12299774245.393291 nan 0.6   
25 1500 0.29668520335084325 18.84655679511007 9518993826.302212 9.5809334506276188e+09 18856672940.103943 8737120023167.953 25774363920.34687 12232050217.165413 nan 0.6   
26 1560 0.28440463659850435 20.697069872505804 9518993826.302212 9.5855461690990677e+09 12505884690.085424 22855100337907.914 29318924664.223938 10983083600.843214 nan 0.7   
27 1620 0.25874512820181195 23.17438159509787 9468336405.341814 9.4683364053418140e+09 12309468643.388092 75224704767.75964 3378120504.618679 10980023826.867146 nan 0.7   
28 1680 0.2507733923142417 27.041800794371223 9468336405.341814 9.4877525602907543e+09 12920266152.813572 151931523478.92242 18024779053.96965 10966074775.18874 nan 0.7   
29 1740 0.25142493472449107 32.31605563503862 9468336405.341814 9.4753995775927181e+09 11697042817.166569 234847400822.42807 4543225032.96283 10263195372.102932 nan 0.7   
30 1800 0.22785373577187662 37.3731176207567 9468336405.341814 9.5042270771011238e+09 12065310789.128725 356442912763.4421 10261719323.406235 10677487662.458763 nan 0.8   
31 1860 0.2162163826000528 45.83867411073936 9468336405.341814 9.5061194540783405e+09 10503735354.520355 51280772284.08428 1955118592.699438 9924603188.62225 nan 0.8   
